,timestamp,length,highest_layer,content_type,content_type_len,request_uri,http,dest_ip,dest_port
0,1553740465.177278,55,TLS,,0,,,74.125.124.95,443
1,1553740465.193878,66,TCP,,0,,,10.194.59.155,61103
2,1553740467.062089,55,TLS,,0,,,104.25.218.21,443
3,1553740467.069729,66,TCP,,0,,,10.194.59.155,64299
4,1553740468.17002,55,TCP,,0,,,151.101.184.193,80
5,1553740468.178199,66,TCP,,0,,,10.194.59.155,64301
6,1553740470.197694,55,TCP,,0,,,74.125.124.95,443
7,1553740470.212976,66,TCP,,0,,,10.194.59.155,61103
8,1553740471.349033,54,TCP,,0,,,151.101.184.193,80
9,1553740471.35932,56,VSSMONITORING,,0,,,10.194.59.155,64301
10,1553740471.359494,54,TCP,,0,,,151.101.184.193,80
11,1553740472.256541,55,TLS,,0,,,151.101.64.114,443
12,1553740472.263381,66,TCP,,0,,,10.194.59.155,64266
13,1553740475.2189,55,TCP,,0,,,74.125.124.95,443
14,1553740475.240481,66,TCP,,0,,,10.194.59.155,61103
15,1553740475.811292,54,TCP,,0,,,52.200.177.58,443
16,1553740475.811459,54,TCP,,0,,,52.200.177.58,443
17,1553740475.812531,66,TCP,,0,,,130.126.151.9,443
18,1553740475.813252,66,TCP,,0,,,130.126.151.9,443
19,1553740475.815664,66,TCP,,0,,,10.194.59.155,64337
20,1553740475.815669,66,TCP,,0,,,10.194.59.155,64338
21,1553740475.815808,54,TCP,,0,,,130.126.151.9,443
22,1553740475.81591,54,TCP,,0,,,130.126.151.9,443
23,1553740475.81661,571,TLS,,0,,,130.126.151.9,443
24,1553740475.817023,571,TLS,,0,,,130.126.151.9,443
25,1553740475.824651,1514,TLS,,0,,,10.194.59.155,64338
26,1553740475.824653,1514,TCP,,0,,,10.194.59.155,64338
27,1553740475.824654,1514,TLS,,0,,,10.194.59.155,64337
28,1553740475.824657,1514,TCP,,0,,,10.194.59.155,64337
29,1553740475.824731,54,TCP,,0,,,130.126.151.9,443
30,1553740475.824828,54,TCP,,0,,,130.126.151.9,443
31,1553740475.828193,1514,TCP,,0,,,10.194.59.155,64337
32,1553740475.828194,1514,TCP,,0,,,10.194.59.155,64337
33,1553740475.828195,705,TLS,,0,,,10.194.59.155,64337
34,1553740475.828196,1514,TCP,,0,,,10.194.59.155,64338
35,1553740475.828196,1514,TCP,,0,,,10.194.59.155,64338
36,1553740475.828197,705,TLS,,0,,,10.194.59.155,64338
37,1553740475.828267,54,TCP,,0,,,130.126.151.9,443
38,1553740475.828353,54,TCP,,0,,,130.126.151.9,443
39,1553740475.838819,56,VSSMONITORING,,0,,,10.194.59.155,64281
40,1553740475.839112,236,TLS,,0,,,130.126.151.9,443
41,1553740475.844198,129,TLS,,0,,,10.194.59.155,64338
42,1553740475.845353,236,TLS,,0,,,130.126.151.9,443
43,1553740475.846058,1514,TLS,,0,,,130.126.151.9,443
44,1553740475.84607,215,TLS,,0,,,130.126.151.9,443
45,1553740475.848306,66,TCP,,0,,,10.194.59.155,64338
46,1553740475.848308,60,TCP,,0,,,10.194.59.155,64338
47,1553740475.851959,129,TLS,,0,,,10.194.59.155,64337
48,1553740475.85196,1514,TLS,,0,,,10.194.59.155,64338
49,1553740475.851961,1514,TCP,,0,,,10.194.59.155,64338
50,1553740475.851963,1514,TCP,,0,,,10.194.59.155,64338
51,1553740475.851963,1514,TCP,,0,,,10.194.59.155,64338
52,1553740475.851964,1514,TCP,,0,,,10.194.59.155,64338
53,1553740475.852035,54,TCP,,0,,,130.126.151.9,443
54,1553740475.853168,1514,TCP,,0,,,10.194.59.155,64338
55,1553740475.853221,54,TCP,,0,,,130.126.151.9,443
56,1553740475.854604,1315,TLS,,0,,,10.194.59.155,64338
57,1553740475.896884,54,TCP,,0,,,130.126.151.9,443
58,1553740475.897244,54,TCP,,0,,,130.126.151.9,443
59,1553740478.135618,93,TLS,,0,,,10.194.59.155,64296
60,1553740478.13562,78,TLS,,0,,,10.194.59.155,64296
61,1553740478.13562,56,VSSMONITORING,,0,,,10.194.59.155,64296
62,1553740478.135621,56,VSSMONITORING,,0,,,10.194.59.155,64296
63,1553740478.135735,54,TCP,,0,,,104.31.72.18,443
64,1553740478.136072,54,TCP,,0,,,104.31.72.18,443
65,1553740478.142392,56,VSSMONITORING,,0,,,10.194.59.155,64296
66,1553740480.241593,55,TCP,,0,,,74.125.124.95,443
67,1553740480.262348,66,TCP,,0,,,10.194.59.155,61103
68,1553740484.110854,97,TLS,,0,,,13.89.217.116,443
69,1553740484.143813,179,TLS,,0,,,10.194.59.155,60921
70,1553740484.189399,54,TCP,,0,,,13.89.217.116,443
71,1553740485.153618,102,TLS,,0,,,10.194.59.155,61103
72,1553740485.194337,54,TCP,,0,,,74.125.124.95,443
73,1553740488.935519,311,TLS,,0,,,10.194.59.155,64203
74,1553740488.940858,584,TLS,,0,,,162.125.18.133,443
75,1553740488.963212,56,VSSMONITORING,,0,,,10.194.59.155,64203
76,1553740488.963282,378,TLS,,0,,,162.125.18.133,443
77,1553740488.985728,56,VSSMONITORING,,0,,,10.194.59.155,64203
78,1553740489.456294,85,TLS,,0,,,10.194.59.155,64335
79,1553740489.456296,56,VSSMONITORING,,0,,,10.194.59.155,64335
80,1553740489.456297,56,VSSMONITORING,,0,,,10.194.59.155,64335
81,1553740489.456387,54,TCP,,0,,,162.125.34.137,443
82,1553740490.15669,55,TCP,,0,,,74.125.124.95,443
